,budget,production_company,popularity,revenue,vote_average,vote_count,title,genre
1193,0.09210526315789473,0.06021341463414634,0.030375229402596713,0.027043038792544247,0.73,0.03294066317626527,The Count of Monte Cristo,0
1194,0.10526315789473684,0.09603658536585366,0.029777049659597286,0.030636286802252916,0.7,0.06559045956951716,The Lincoln Lawyer,13
1198,0.10526315789473684,0.17301829268292682,0.0207201545948951,0.026757021939708386,0.5700000000000001,0.024141942990110528,Escape from Planet Earth,3
1202,0.0,0.011432926829268292,0.00858793233370829,0.0,0.58,0.0037085514834205935,Legal Eagles,8
1203,0.10526315789473684,0.0350609756097561,0.03758464669366142,0.03332651884101589,0.64,0.07068062827225131,Secret Window,6
1204,0.10526315789473684,0.014481707317073171,0.0341343057798613,0.04118778658148957,0.65,0.04872018615474113,The Lake House,12
1205,0.11315789473684211,0.011432926829268292,0.0332412385163934,0.03298994611836041,0.64,0.041666666666666664,The Skeleton Key,5
1206,0.0,0.0007621951219512195,0.018724077257451267,0.018599542455461172,0.65,0.028068644560791157,The Odd Life of Timothy Green,2
1207,0.10526315789473684,0.001524390243902439,0.022356317897856443,0.030345315798425563,0.6,0.028650378126817918,Made of Honor,8
1208,0.10526315789473684,0.0038109756097560975,0.016217720637605435,0.024156332987824106,0.6799999999999999,0.018542757417102967,Jersey Boys,17
1209,0.10526315789473684,0.006859756097560976,0.013967310551474143,0.016469635582635256,0.67,0.017088423502036067,The Rainmaker,5
1210,0.10526315789473684,0.0350609756097561,0.031183406776826968,0.05078662019844727,0.58,0.045738801628853985,Gothika,15
1211,0.09473684210526316,0.023628048780487805,0.004223795070635959,0.026542656629760013,0.6799999999999999,0.02297847585805701,Amistad,5
1212,0.10526315789473684,0.08384146341463415,0.008019667573875393,0.0,0.58,0.008289703315881327,Medicine Man,1
1213,0.10526315789473684,0.013719512195121951,0.04497801948843574,0.014991961769856984,0.49000000000000005,0.053810354857475276,Aliens vs Predator: Requiem,2
1214,0.10526315789473684,0.08689024390243902,0.016444339226726636,0.0,0.54,0.03017742873763816,Ri¢hie Ri¢h,8
1215,0.17105263157894737,0.09603658536585366,0.009913795498408911,0.0,0.5700000000000001,0.00981675392670157,Autumn in New York,5
1216,0.10526315789473684,0.014481707317073171,0.020168352041276167,0.05233079233319682,0.62,0.04028504944735311,Music and Lyrics,8
1218,0.10526315789473684,0.006859756097560976,0.01745519680779388,0.015015871681896711,0.54,0.02065154159394997,The Guilt Trip,8
1219,0.10526315789473684,0.1524390243902439,0.040223860193086235,0.03484214578329833,0.61,0.06559045956951716,Scream 4,15
1220,0.10526315789473684,0.0350609756097561,0.029215187503346705,0.03465563448069104,0.61,0.03446771378708551,8MM,6
1221,0.1,0.009146341463414634,0.012328009904231566,0.012344807745435013,0.67,0.019997091332169866,The Doors,5
1223,0.10526315789473684,0.06097560975609756,0.0039008758872484148,0.012926241138399162,0.5,0.0029086678301337987,Hanging Up,8
1224,0.12368421052631579,0.009908536585365854,0.04403415397271416,0.05663185803015043,0.5900000000000001,0.06297265852239674,Final Destination 5,15
1225,0.0,0.10289634146341463,0.007750413309704002,0.0,0.53,0.010180337405468295,Mickey Blue Eyes,8
1226,0.10526315789473684,0.17454268292682926,0.027768619385951824,0.019981387593323185,0.7,0.031413612565445025,Pay It Forward,5
1227,0.07894736842105263,0.06935975609756098,0.011381093843706495,0.018096104300319025,0.5900000000000001,0.013234438627108784,Fever Pitch,8
1228,0.10526315789473684,0.006859756097560976,0.01719512729888631,0.0,0.55,0.019997091332169866,Drillbit Taylor,8
1230,0.06578947368421052,0.011432926829268292,0.009340312491025604,0.017239611508807966,0.54,0.010034904013961605,The Shadow,1
1231,0.10526315789473684,0.006859756097560976,0.035481426821921465,0.01981656128249787,0.6900000000000001,0.05148342059336824,Extremely Loud & Incredibly Close,5
1232,0.10526315789473684,0.1760670731707317,0.025687378055656407,0.021085335779170752,0.61,0.029959278650378125,Morning Glory,8
1233,0.10526315789473684,0.006859756097560976,0.014717062740392795,0.016658217212459664,0.63,0.013525305410122163,Get Rich or Die Tryin',5
1234,0.10526315789473684,0.17682926829268292,0.008945299488777914,0.010831952358663091,0.5599999999999999,0.00981675392670157,The Art of War,13
1235,0.10526315789473684,0.001524390243902439,0.01191627429733667,0.011359762052859596,0.67,0.01127108784176847,Rent,5
1236,0.10526315789473684,0.006859756097560976,0.0037939926092871524,0.0,0.49000000000000005,0.005162885398487493,Bless the Child,5
1237,0.19736842105263158,0.006859756097560976,0.005530755364860148,0.010401851922473518,0.5,0.0032722513089005235,The Out-of-Towners,8
1238,0.10526315789473684,0.009908536585365854,0.015088145355045011,0.017800717531008307,0.45999999999999996,0.01068935427574171,The Island of Dr. Moreau,2
1239,0.10526315789473684,0.17759146341463414,0.0037654218759273304,0.009703785433379067,0.52,0.004072134962187318,The Musketeer,0
1240,0.09210526315789473,0.001524390243902439,0.026199231149641778,0.0,0.64,0.03468586387434555,The Other Boleyn Girl,5
1241,0.10526315789473684,0.17454268292682926,0.022125649427839254,0.02358502561836421,0.64,0.020215241419429902,Sweet November,5
1242,0.10526315789473684,0.014481707317073171,0.015356308915252592,0.02251500899085685,0.54,0.014906922629435718,The Reaping,15
1243,0.0013157894736842105,0.17835365853658536,0.019418066492408723,0.001076053647152433,0.72,0.025087260034904014,Mean Streets,5
1244,0.10526315789473684,0.11051829268292683,0.00515880475543045,0.008727628661298226,0.5900000000000001,0.0058900523560209425,Renaissance Man,8
1245,0.10526315789473684,0.17911585365853658,0.038586900847546075,0.02186750984948758,0.65,0.05991855730075625,Colombiana,0
1246,0.10526315789473684,0.0038109756097560975,0.01834146401743925,0.013691885948642082,0.6900000000000001,0.013816172193135544,Quest for Camelot,2
1247,0.10526315789473684,0.12423780487804878,0.003971037275630274,0.008046698685219225,0.5700000000000001,0.006689936009307737,City By The Sea,13
1248,0.0,0.12042682926829268,0.0065998713848738465,0.0,0.5900000000000001,0.0034904013961605585,At First Sight,5
1249,0.10526315789473684,0.014481707317073171,0.008406749844893044,0.016695401680975212,0.47000000000000003,0.008653286794648052,Torque,0
1250,0.0,0.001524390243902439,0.004136494211694024,0.0,0.6,0.004872018615474113,City Hall,5
1251,0.11842105263157894,0.05945121951219512,0.01657562229472225,0.0072995010213339874,0.49000000000000005,0.01861547411285631,Showgirls,5
1252,0.10526315789473684,0.16996951219512196,0.025542515437786784,0.02169121137204542,0.65,0.04668411867364747,Marie Antoinette,5
1253,0.10526315789473684,0.013719512195121951,0.007890689260433672,0.0,0.5700000000000001,0.0058900523560209425,Kiss of Death,0
1254,0.16736842105263158,0.07621951219512195,0.005133490144584574,0.00696314063993155,0.48,0.01054392088423502,Get Carter,0
1256,0.14473684210526316,0.001524390243902439,0.0027530807090496295,0.005156155314508786,0.42000000000000004,0.002036067481093659,Ishtar,0
1258,0.10526315789473684,0.03353658536585366,0.01025700977021203,0.0060519663889176956,0.5700000000000001,0.009016870273414777,Life or Something Like It,8
1259,0.10526315789473684,0.03353658536585366,0.008249359549767911,0.005150004591861663,0.5700000000000001,0.009089586969168121,Memoirs of an Invisible Man,8
1261,0.0,0.1798780487804878,0.011467010479398026,0.0,0.55,0.013452588714368819,New York Minute,8
1262,0.15789473684210525,0.006859756097560976,0.017381895790934,0.004804916339327172,0.5599999999999999,0.018033740546829553,Alfie,8
1263,0.10526315789473684,0.011432926829268292,0.009483637844460373,0.008866400485165042,0.6599999999999999,0.011052937754508435,Big Miracle,1
1264,0.1,0.0350609756097561,0.005420496044053841,0.01008660407231276,0.5900000000000001,0.003926701570680628,The Deep End of the Ocean,5
1266,0.10526315789473684,0.011432926829268292,0.01875874565412289,0.010104025739544708,0.55,0.02530541012216405,Cirque du Freak: The Vampire's Assistant,1
1267,0.10526315789473684,0.04801829268292683,0.017805315064373148,0.0069305512791738915,0.5900000000000001,0.03504944735311227,Duplex,0
1268,0.0,0.1524390243902439,0.006262891828189502,0.0,0.63,0.0034176847004072134,Soul Men,8
1269,0.0,0.18140243902439024,0.0018622382532482234,0.0,0.52,0.0015270506108202443,Raise the Titanic,0
1270,0.11842105263157894,0.039634146341463415,0.01663656352279015,0.003826408390027303,0.42000000000000004,0.00981675392670157,Universal Soldier: The Return,0
1271,0.0868421052631579,0.06326219512195122,0.03238250615686684,0.007405159805001532,0.65,0.056282722513089,Pandorum,0
1272,0.10526315789473684,0.1524390243902439,0.010941274037366522,0.0,0.61,0.00981675392670157,Impostor,0
1273,0.10526315789473684,0.006859756097560976,0.0033255837960130953,0.0039309943482086366,0.5,0.002036067481093659,Extreme Ops,0
1274,0.0,0.18216463414634146,0.01238592228736542,0.0,0.48,0.012434554973821989,Just Visiting,8
1276,0.10526315789473684,0.006859756097560976,0.014983340696156137,0.007906941554896164,0.6,0.027123327515997674,A Thousand Words,5
1277,0.10526315789473684,0.18292682926829268,0.004840763474272672,0.0,0.54,0.0010907504363001745,Delgo,1
1278,0.10526315789473684,0.1364329268292683,0.03076294325402482,0.004893996723137587,0.55,0.028504944735311226,The Gunman,0
1279,0.10526315789473684,0.1836890243902439,0.018596744707791588,0.008586144106186936,0.51,0.015488656195462478,Stormbreaker,1
1280,0.05263157894736842,0.006859756097560976,0.03619361882104141,0.042238740559953074,0.6599999999999999,0.07315299592786503,Disturbia,6
1281,0.05263157894736842,0.05945121951219512,0.020377600455962222,0.0027129923668229926,0.62,0.0289412449098313,Hackers,0
1282,0.0,0.09908536585365854,0.00919195619417662,0.0,0.6599999999999999,0.006980802792321117,The Hunting Party,0
1283,0.07894736842105263,0.041158536585365856,0.01620521351812097,0.0,0.71,0.019997091332169866,The Hudsucker Proxy,8
1284,0.10526315789473684,0.18445121951219512,0.007862738686500392,0.0,0.63,0.006035485747527632,投名狀,0
1285,0.06578947368421052,0.18521341463414634,0.009378932548131552,0.0,0.43,0.0012361838278068644,Nomad,0
1287,0.06578947368421052,0.18673780487804878,0.019844601410259666,0.0,0.65,0.022760325770796976,Un monstre à Paris,1
1288,0.0,0.040396341463414635,0.007731777690251164,0.0,0.5900000000000001,0.0010907504363001745,The Last Shot,0
1289,0.039473684210526314,0.04801829268292683,0.051040499317193615,0.03371634761077623,0.73,0.06929901105293776,The Crow,2
1290,0.10526315789473684,0.1875,0.018563703801327734,0.0358684549050811,0.75,0.00981675392670157,Baahubali: The Beginning,0
1291,0.10263157894736842,0.009908536585365854,0.04282061275851475,0.036309562294027396,0.67,0.058027923211169286,The Time Traveler's Wife,5
1292,0.0,0.011432926829268292,0.021332587725819478,0.024923371646224636,0.58,0.013888888888888888,Because I Said So,8
1293,0.10263157894736842,0.07317073170731707,0.031874576170856,0.01265718432578062,0.6599999999999999,0.06777196044211752,Frankenweenie,3
1295,0.10263157894736842,0.006859756097560976,0.0032177068924512955,0.002372440039095798,0.45,0.002326934264107039,Against the Ropes,12
1296,0.10263157894736842,0.0038109756097560975,0.025313699451360486,0.02720644686466262,0.53,0.035631180919139034,Superman III,8
1297,0.10526315789473684,0.12652439024390244,0.024398589688938137,0.016107540302207523,0.6,0.03148632926119837,Grudge Match,8
1298,0.21142368421052632,0.18826219512195122,0.016945884882729422,0.045845125391270725,0.71,0.014906922629435718,Chi bi,1
1301,0.0,0.009146341463414634,0.00618764581776903,0.0,0.55,0.006835369400814427,Sgt. Bilko,8
1302,0.1,0.1524390243902439,0.027507604219576157,0.0429429186750788,0.53,0.03788539848749273,Spy Kids 2: The Island of Lost Dreams,0
1303,0.1,0.006859756097560976,0.01687911895286526,0.04304214588609732,0.64,0.032867946480511924,Star Trek: Generations,4
1304,0.010157894736842105,0.07240853658536585,0.022781739269775753,0.022983335156807866,0.63,0.019851657940663178,一代宗師,0
1305,0.1,0.018292682926829267,0.019188644051736575,0.04094607587889066,0.67,0.06180919139034322,Water for Elephants,5
1306,0.10526315789473684,0.18902439024390244,0.005776385323804966,0.0,0.6799999999999999,0.0013816172193135544,Dragon Nest: Warriors' Dawn,1
1307,0.13157894736842105,0.011432926829268292,0.023785090980214564,0.0265269609525781,0.72,0.028795811518324606,The Hurricane,5
1308,0.1,0.18978658536585366,0.013135025764397745,0.018580285399391733,0.62,0.019197207678883072,Enough,5
1309,0.09210526315789473,0.08689024390243902,0.015911946635269923,0.0,0.5700000000000001,0.018470040721349622,Heartbreakers,13
1310,0.1,0.001524390243902439,0.04712125163522079,0.03859346822588098,0.5,0.0412303664921466,Paul Blart: Mall Cop 2,0
1311,0.1394736842105263,0.08003048780487805,0.007371827108620142,0.010652931106809087,0.5599999999999999,0.006399069226294357,Angel Eyes,5
1312,0.1,0.03353658536585366,0.006004021522592925,0.0,0.55,0.0029086678301337987,Joe Somebody,8
1313,0.1,0.19054878048780488,0.034673152369327935,0.020947858447841458,0.63,0.0549738219895288,The Ninth Gate,15
1314,0.1,0.001524390243902439,0.00391346295362028,0.006233982656756275,0.5700000000000001,0.005817335660267597,Extreme Measures,5
1315,0.15,0.17454268292682926,0.01325764944238959,0.006094732706385574,0.6,0.013816172193135544,Rock Star,17
1316,0.02631578947368421,0.1913109756097561,0.021316837046903372,0.01705077270216189,0.6900000000000001,0.03032286212914485,Precious,5
